T_over_Tc, mu_over_kTc, z
1.000000000000000021e-02,-9.958953619163770537e-05,9.900904725457230215e-01
1.196392785571142280e-02,-1.191800731582076488e-04,9.900878350610679002e-01
1.392785571142284712e-02,-1.387842792919726106e-04,9.900849696932284560e-01
1.589178356713426971e-02,-1.584032488070878555e-04,9.900818927616622522e-01
1.785571142284569229e-02,-1.780380043840597574e-04,9.900786173732907258e-01
1.981963927855711488e-02,-1.976895106470627993e-04,9.900751543408881084e-01
2.178356713426853747e-02,-2.173586839857537115e-04,9.900715127708273888e-01
2.374749498997996006e-02,-2.370463999780793643e-04,9.900677004592066677e-01
2.571142284569138264e-02,-2.567534991638668429e-04,9.900637241699389302e-01
2.767535070140280523e-02,-2.764807916417803498e-04,9.900595898365319725e-01
2.963927855711422782e-02,-2.962290608011448933e-04,9.900553027125473804e-01
3.160320641282565041e-02,-3.159990664013986698e-04,9.900508674863977010e-01
3.356713426853707993e-02,-3.357915471489938074e-04,9.900462883706681039e-01
3.553106212424850252e-02,-3.556072228801003066e-04,9.900415691727999512e-01
3.749498997995992511e-02,-3.754467964290662341e-04,9.900367133518587215e-01
3.945891783567134770e-02,-3.953109552429734884e-04,9.900317240647203976e-01
4.142284569138277028e-02,-4.152003727883907150e-04,9.900266042040862802e-01
4.338677354709419287e-02,-4.351157097863063059e-04,9.900213564300942570e-01
4.535070140280561546e-02,-4.550576153035555877e-04,9.900159831968495805e-01
4.731462925851703805e-02,-4.750267277232839516e-04,9.900104867748795723e-01
4.927855711422846063e-02,-4.950236756127053550e-04,9.900048692702825281e-01
5.124248496993988322e-02,-5.150490785029887856e-04,9.899991326411711201e-01
5.320641282565130581e-02,-5.351035475934934338e-04,9.899932787118819189e-01
5.517034068136272840e-02,-5.551876863904060561e-04,9.899873091853272911e-01
5.713426853707415792e-02,-5.753020912882859331e-04,9.899812256537892097e-01
5.909819639278558051e-02,-5.954473521015746012e-04,9.899750296083992263e-01
6.106212424849700310e-02,-6.156240525521107206e-04,9.899687224475024472e-01
6.302605210420841875e-02,-6.358327707176932454e-04,9.899623054840697156e-01
6.498997995991984133e-02,-6.560740794462140190e-04,9.899557799522904489e-01
6.695390781563126392e-02,-6.763485467389517567e-04,9.899491470134612614e-01
6.891783567134268651e-02,-6.966567361064135953e-04,9.899424077612621886e-01
7.088176352705410910e-02,-7.169992068995381489e-04,9.899355632265000038e-01
7.284569138276553169e-02,-7.373765146186655886e-04,9.899286143813864625e-01
7.480961923847695427e-02,-7.577892112025245768e-04,9.899215621434072077e-01
7.677354709418837686e-02,-7.782378452990693302e-04,9.899144073788309628e-01
7.873747494989979945e-02,-7.987229625198949239e-04,9.899071509059000906e-01
8.070140280561122204e-02,-8.192451056796981948e-04,9.898997934977388224e-01
8.266533066132264462e-02,-8.398048150220865883e-04,9.898923358850104659e-01
8.462925851703406721e-02,-8.604026284330033554e-04,9.898847787583495705e-01
8.659318637274548980e-02,-8.810390816426489323e-04,9.898771227705946973e-01
8.855711422845691239e-02,-9.017147084170388637e-04,9.898693685388399999e-01
9.052104208416833497e-02,-9.224300407399078829e-04,9.898615166463253789e-01
9.248496993987975756e-02,-9.431856089858018126e-04,9.898535676441801989e-01
