T_over_Tc, mu_over_kTc, z
1.000000000000000021e-02,-9.950340754168056411e-05,9.900990000980198769e-01
1.196392785571142280e-02,-1.190452433175277704e-04,9.900989931137482714e-01
1.392785571142284712e-02,-1.385871449815203531e-04,9.900989834153062219e-01
1.589178356713426971e-02,-1.581291358363955070e-04,9.900989705571358046e-01
1.785571142284569229e-02,-1.776712427202508130e-04,9.900989540936689925e-01
1.981963927855711488e-02,-1.972134960067024911e-04,9.900989335793247692e-01
2.178356713426853747e-02,-2.167559296051011560e-04,9.900989085685052427e-01
2.374749498997996006e-02,-2.362985809607855755e-04,9.900988786155920929e-01
2.571142284569138264e-02,-2.558414910553990671e-04,9.900988432749422419e-01
2.767535070140280523e-02,-2.753847044072614070e-04,9.900988021008834128e-01
2.963927855711422782e-02,-2.949282690718232729e-04,9.900987546477086898e-01
3.160320641282565041e-02,-3.144722366421752501e-04,9.900987004696714111e-01
3.356713426853707993e-02,-3.340166622496563401e-04,9.900986391209789517e-01
3.553106212424850252e-02,-3.535616045645194436e-04,9.900985701557869501e-01
3.749498997995992511e-02,-3.731071257967226115e-04,9.900984931281920920e-01
3.945891783567134770e-02,-3.926532916967695724e-04,9.900984075922257821e-01
4.142284569138277028e-02,-4.122001715567057893e-04,9.900983131018459282e-01
4.338677354709419287e-02,-4.317478382111841761e-04,9.900982092109293919e-01
4.535070140280561546e-02,-4.512963680386503475e-04,9.900980954732637729e-01
4.731462925851703805e-02,-4.708458409626430649e-04,9.900979714425388600e-01
4.927855711422846063e-02,-4.903963404532473390e-04,9.900978366723370838e-01
5.124248496993988322e-02,-5.099479535286258105e-04,9.900976907161246343e-01
5.320641282565130581e-02,-5.295007707567469689e-04,9.900975331272409141e-01
5.517034068136272840e-02,-5.490548862571784225e-04,9.900973634588891015e-01
5.713426853707415792e-02,-5.686103977031129473e-04,9.900971812641246039e-01
5.909819639278558051e-02,-5.881674063234814884e-04,9.900969860958444002e-01
6.106212424849700310e-02,-6.077260169052550298e-04,9.900967775067753829e-01
6.302605210420841875e-02,-6.272863377958779775e-04,9.900965550494628120e-01
6.498997995991984133e-02,-6.468484809059290089e-04,9.900963182762574366e-01
