T_over_Tc, mu_over_kTc, z
1.010020040080160220e+00,-5.240475441792102895e-01,5.952054375642545914e-01
1.014028056112224352e+00,-3.488376004602115055e-01,7.089205741844170072e-01
1.018036072144288484e+00,-2.731056172172495744e-01,7.647034771440053280e-01
1.022044088176352616e+00,-2.336429517348817819e-01,7.956438690419599391e-01
1.026052104208416749e+00,-2.114732184042071028e-01,8.137486200774426415e-01
1.030060120240480881e+00,-1.989064415881042769e-01,8.243980635443729499e-01
1.034068136272545013e+00,-1.922354025101631059e-01,8.303549113052793862e-01
1.038076152304609145e+00,-1.894539109914802066e-01,8.331806202276254014e-01
1.042084168336673278e+00,-1.893820607284150692e-01,8.338231586916113880e-01
1.046092184368737410e+00,-1.912806926165690480e-01,8.328909013825264163e-01
1.050100200400801542e+00,-1.946631739046069121e-01,8.307920062825563390e-01
1.054108216432865675e+00,-1.991959847726606503e-01,8.278104335303417827e-01
1.058116232464929807e+00,-2.046428155000237781e-01,8.241498046053087334e-01
1.062124248496993939e+00,-2.108314795690883481e-01,8.199599126012314665e-01
1.066132264529058071e+00,-2.176334765649197700e-01,8.153533873171927571e-01
1.070140280561122204e+00,-2.249509034125857787e-01,8.104165288480449370e-01
1.074148296593186336e+00,-2.327078070550572531e-01,8.052165577796172036e-01
1.078156312625250468e+00,-2.408443149430173624e-01,7.998065920825051522e-01
1.082164328657314600e+00,-2.493125553847631848e-01,7.942291409340508368e-01
1.086172344689378733e+00,-2.580737618158814306e-01,7.885186067707689039e-01
1.090180360721442865e+00,-2.670961785899725327e-01,7.827031093521606975e-01
1.094188376753506997e+00,-2.763535207744245992e-01,7.768058371024336717e-01
1.098196392785571129e+00,-2.858238241258126977e-01,7.708460628924861391e-01
1.102204408817635262e+00,-2.954885744799694014e-01,7.648399177881223254e-01
1.106212424849699394e+00,-3.053320403856454313e-01,7.588009875899887069e-01
1.110220440881763526e+00,-3.153407556235448550e-01,7.527407778927180937e-01
1.114228456913827658e+00,-3.255031136935443992e-01,7.466690803704373325e-01
1.118236472945891791e+00,-3.358090469516724630e-01,7.405942639976756947e-01
1.122244488977955923e+00,-3.462497704218849837e-01,7.345235086332537744e-01
1.126252505010020055e+00,-3.568175755401746252e-01,7.284629939000698551e-01
1.130260521042083965e+00,-3.675056628078503529e-01,7.224180530769416242e-01
1.134268537074148098e+00,-3.783080050180241960e-01,7.163932993805087746e-01
1.138276553106212230e+00,-3.892192347198518698e-01,7.103927302733191729e-01
1.142284569138276362e+00,-4.002345510260905126e-01,7.044198141648954081e-01
1.146292585170340494e+00,-4.113496419888126310e-01,6.984775628926305213e-01
1.150300601202404627e+00,-4.225606195701344658e-01,6.925685926540733339e-01
1.154308617234468759e+00,-4.338639648756428269e-01,6.866951754962088428e-01
1.158316633266532891e+00,-4.452564818079662867e-01,6.808592830333363155e-01
1.162324649298597024e+00,-4.567352576475024462e-01,6.750626237458274836e-01
1.166332665330661156e+00,-4.682976293836341730e-01,6.693066749358851375e-01
1.170340681362725288e+00,-4.799411548349775680e-01,6.635927102192783478e-01
1.174348697394789420e+00,-4.916635877686559852e-01,6.579218232744100670e-01
1.178356713426853553e+00,-5.034628563897881603e-01,6.522949484301834300e-01
1.182364729458917685e+00,-5.153370446757706835e-01,6.467128785769745702e-01
1.186372745490981817e+00,-5.272843761193837242e-01,6.411762808027675620e-01
1.190380761523045949e+00,-5.393031995218020569e-01,6.356857100872050914e-01
1.194388777555110082e+00,-5.513919765414240226e-01,6.302416213288695168e-01
1.198396793587174214e+00,-5.635492707445320937e-01,6.248443799410825505e-01
1.202404809619238346e+00,-5.757737379490567298e-01,6.194942712117865735e-01
1.206412825651302478e+00,-5.880641176860390562e-01,6.141915085925623297e-01
1.210420841683366611e+00,-6.004192256268039429e-01,6.089362410586665053e-01
1.214428857715430743e+00,-6.128379468510650740e-01,6.037285596586385861e-01
1.218436873747494875e+00,-6.253192298447817210e-01,5.985685033572327729e-01
1.222444889779559007e+00,-6.378620811404288604e-01,5.934560642567179300e-01
1.226452905811623140e+00,-6.504655605150598818e-01,5.883911922745521661e-01
1.230460921843687272e+00,-6.631287766819904395e-01,5.833737993403796951e-01
1.234468937875751404e+00,-6.758508834119930642e-01,5.784037631710601257e-01
1.238476953907815536e+00,-6.886310760422158506e-01,5.734809306680864749e-01
1.242484969939879669e+00,-7.014685883185274307e-01,5.686051209846076926e-01
1.246492985971943801e+00,-7.143626895416439471e-01,5.637761282948474673e-01
1.250501002004007933e+00,-7.273126819748561012e-01,5.589937243022401470e-01
1.254509018036072066e+00,-7.403178984959292164e-01,5.542576605091631414e-01
1.258517034068136198e+00,-7.533777004535343602e-01,5.495676702794755064e-01
1.262525050100200330e+00,-7.664914757191378936e-01,5.449234707096737296e-01
1.266533066132264462e+00,-7.796586369038760456e-01,5.403247643327268035e-01
1.270541082164328595e+00,-7.928786197314153794e-01,5.357712406679152606e-01
1.274549098196392727e+00,-8.061508815448060750e-01,5.312625776346516782e-01
1.278557114228456859e+00,-8.194748999386295418e-01,5.267984428415507514e-01
1.282565130260520991e+00,-8.328501715018492568e-01,5.223784947637569731e-01
1.286573146292585124e+00,-8.462762106595838052e-01,5.180023838195479957e-01
1.290581162324649256e+00,-8.597525486094094171e-01,5.136697533535848903e-01
1.294589178356713388e+00,-8.732787323365507337e-01,5.093802405382005238e-01
1.298597194388777520e+00,-8.868543237056957240e-01,5.051334771981216276e-01
