T_over_Tc, mu_over_kTc, z
1.000000000000000021e-02,-9.951321050707540169e-05,9.900980295078720683e-01
1.196392785571142280e-02,-1.190619979684131663e-04,9.900976065497739675e-01
1.392785571142284712e-02,-1.386135280374984605e-04,9.900971079067782954e-01
1.589178356713426971e-02,-1.581682514632758824e-04,9.900965335560225622e-01
1.785571142284569229e-02,-1.777266192399843347e-04,9.900958834711689471e-01
1.981963927855711488e-02,-1.972890826418604649e-04,9.900951576224011896e-01
2.178356713426853747e-02,-2.168560932578890942e-04,9.900943559764210367e-01
2.374749498997996006e-02,-2.364281030265969722e-04,9.900934784964446900e-01
2.571142284569138264e-02,-2.560055642709091451e-04,9.900925251421984763e-01
2.767535070140280523e-02,-2.755889297330760138e-04,9.900914958699138513e-01
2.963927855711422782e-02,-2.951786526096344628e-04,9.900903906323232917e-01
3.160320641282565041e-02,-3.147751865864995002e-04,9.900892093786536341e-01
3.356713426853707993e-02,-3.343789858740687723e-04,9.900879520546214119e-01
3.553106212424850252e-02,-3.539905052424662901e-04,9.900866186024258608e-01
3.749498997995992511e-02,-3.736102000568546229e-04,9.900852089607423689e-01
3.945891783567134770e-02,-3.932385263128296000e-04,9.900837230647158149e-01
4.142284569138277028e-02,-4.128759406719511877e-04,9.900821608459525747e-01
4.338677354709419287e-02,-4.325229004973512909e-04,9.900805222325129717e-01
4.535070140280561546e-02,-4.521798638894730139e-04,9.900788071489028397e-01
4.731462925851703805e-02,-4.718472897219172036e-04,9.900770155160649733e-01
4.927855711422846063e-02,-4.915256376774306424e-04,9.900751472513698026e-01
5.124248496993988322e-02,-5.112153682840228294e-04,9.900732022686057343e-01
5.320641282565130581e-02,-5.309169429511948661e-04,9.900711804779696035e-01
5.517034068136272840e-02,-5.506308240063439302e-04,9.900690817860560156e-01
5.713426853707415792e-02,-5.703574747313221388e-04,9.900669060958462442e-01
5.909819639278558051e-02,-5.900973593991154335e-04,9.900646533066973509e-01
6.106212424849700310e-02,-6.098509433106895404e-04,9.900623233143307500e-01
6.302605210420841875e-02,-6.296186928320699015e-04,9.900599160108192187e-01
6.498997995991984133e-02,-6.494010754315006437e-04,9.900574312845751290e-01
6.695390781563126392e-02,-6.691985597168408810e-04,9.900548690203372360e-01
6.891783567134268651e-02,-6.890116154731518346e-04,9.900522290991570218e-01
7.088176352705410910e-02,-7.088407137004574263e-04,9.900495113983849294e-01
7.284569138276553169e-02,-7.286863266516848498e-04,9.900467157916563732e-01
7.480961923847695427e-02,-7.485489278708767338e-04,9.900438421488764185e-01
7.677354709418837686e-02,-7.684289922315691882e-04,9.900408903362046820e-01
7.873747494989979945e-02,-7.883269959753695611e-04,9.900378602160400110e-01
8.070140280561122204e-02,-8.082434167508193400e-04,9.900347516470039411e-01
8.266533066132264462e-02,-8.281787336524644612e-04,9.900315644839240425e-01
8.462925851703406721e-02,-8.481334272601361718e-04,9.900282985778171563e-01
8.659318637274548980e-02,-8.681079796785317812e-04,9.900249537758715190e-01
8.855711422845691239e-02,-8.881028745769994600e-04,9.900215299214289999e-01
9.052104208416833497e-02,-9.081185972296298677e-04,9.900180268539663375e-01
9.248496993987975756e-02,-9.281556345555834866e-04,9.900144444090762663e-01
9.444889779559118015e-02,-9.482144751597089546e-04,9.900107824184479766e-01
9.641282565130260274e-02,-9.682956093734403644e-04,9.900070407098471303e-01
9.837675350701402532e-02,-9.883995292959797067e-04,9.900032191070954335e-01
1.003406813627254479e-01,-1.008526728835781698e-03,9.899993174300496523e-01
1.023046092184368705e-01,-1.028677703752360183e-03,9.899953354945799644e-01
1.042685370741483070e-01,-1.048852951698366672e-03,9.899912731125481979e-01
1.062324649298597296e-01,-1.069052972262028072e-03,9.899871300917851835e-01
1.081963927855711521e-01,-1.089278267009916945e-03,9.899829062360675502e-01
1.101603206412825747e-01,-1.109529339529988917e-03,9.899786013450946331e-01
1.121242484969939973e-01,-1.129806695475062649e-03,9.899742152144639373e-01
1.140881763527054199e-01,-1.150110842606608596e-03,9.899697476356464909e-01
1.160521042084168425e-01,-1.170442290838859777e-03,9.899651983959619761e-01
1.180160320641282651e-01,-1.190801552283329108e-03,9.899605672785529720e-01
1.199799599198396877e-01,-1.211189141293772574e-03,9.899558540623580871e-01
1.219438877755511103e-01,-1.231605574511351886e-03,9.899510585220860914e-01
1.239078156312625328e-01,-1.252051370910415781e-03,9.899461804281876054e-01
1.258717434869739693e-01,-1.272527051844508364e-03,9.899412195468276776e-01
1.278356713426853919e-01,-1.293033141092897638e-03,9.899361756398569190e-01
1.297995991983968145e-01,-1.313570164907477446e-03,9.899310484647824149e-01
1.317635270541082371e-01,-1.334138652060082048e-03,9.899258377747381932e-01
1.337274549098196597e-01,-1.354739133890306164e-03,9.899205433184545821e-01
1.356913827655310822e-01,-1.375372144353724209e-03,9.899151648402273462e-01
1.376553106212425048e-01,-1.396038220070545824e-03,9.899097020798863777e-01
1.396192384769539274e-01,-1.416737900374833662e-03,9.899041547727630563e-01
1.415831663326653500e-01,-1.437471727364117782e-03,9.898985226496576084e-01
1.435470941883767726e-01,-1.458240245949500103e-03,9.898928054368058005e-01
1.455110220440881952e-01,-1.479044003906272980e-03,9.898870028558448553e-01
1.474749498997996178e-01,-1.499883551925084010e-03,9.898811146237784797e-01
1.494388777555110404e-01,-1.520759443663620815e-03,9.898751404529412268e-01
1.514028056112224629e-01,-1.541672235798678334e-03,9.898690800509631904e-01
1.533667334669338855e-01,-1.562622488078991775e-03,9.898629331207324800e-01
1.553306613226453081e-01,-1.583610763378457287e-03,9.898566993603581388e-01
1.572945891783567307e-01,-1.604637627749990565e-03,9.898503784631318414e-01
1.592585170340681533e-01,-1.625703650479921273e-03,9.898439701174891470e-01
1.612224448897795759e-01,-1.646809404143000912e-03,9.898374740069698641e-01
