T_over_Tc, mu_over_kTc, z
1.010020040080160220e+00,nan,nan
1.014028056112224352e+00,nan,nan
1.018036072144288484e+00,nan,nan
1.022044088176352616e+00,nan,nan
1.026052104208416749e+00,nan,nan
1.030060120240480881e+00,nan,nan
1.034068136272545013e+00,nan,nan
1.038076152304609145e+00,nan,nan
1.042084168336673278e+00,nan,nan
1.046092184368737410e+00,nan,nan
1.050100200400801542e+00,nan,nan
1.054108216432865675e+00,nan,nan
1.058116232464929807e+00,nan,nan
1.062124248496993939e+00,nan,nan
1.066132264529058071e+00,nan,nan
1.070140280561122204e+00,nan,nan
1.074148296593186336e+00,nan,nan
1.078156312625250468e+00,nan,nan
1.082164328657314600e+00,nan,nan
1.086172344689378733e+00,nan,nan
1.090180360721442865e+00,nan,nan
1.094188376753506997e+00,nan,nan
1.098196392785571129e+00,-3.393202316619543968e+00,4.551125867928804830e-02
1.102204408817635262e+00,-1.826480753621396724e+00,1.906880991136105374e-01
1.106212424849699394e+00,-1.312835509542167323e+00,3.052011309351323476e-01
1.110220440881763526e+00,-1.026402705484880551e+00,3.967283379038376578e-01
1.114228456913827658e+00,-8.394755333716407142e-01,4.707565522852256712e-01
1.118236472945891791e+00,-7.072575499614969230e-01,5.312748211397296805e-01
1.122244488977955923e+00,-6.089417534403009924e-01,5.812289149142757516e-01
1.126252505010020055e+00,-5.332683013048070686e-01,6.228253637466184545e-01
1.130260521042083965e+00,-4.735199810693203615e-01,6.577386317026169271e-01
1.134268537074148098e+00,-4.254077676707523348e-01,6.872547013992444942e-01
1.138276553106212230e+00,-3.860519904033224425e-01,7.123721442579732388e-01
1.142284569138276362e+00,-3.534428678927691303e-01,7.338742928309834879e-01
1.146292585170340494e+00,-3.261337860492949936e-01,7.523814646320281518e-01
1.150300601202404627e+00,-3.030569082857852981e-01,7.683892178008431273e-01
1.154308617234468759e+00,-2.834072401998480317e-01,7.822966966745329431e-01
1.158316633266532891e+00,-2.665669956440774868e-01,7.944278584565169776e-01
1.162324649298597024e+00,-2.520547062877404043e-01,8.050475275887959414e-01
1.166332665330661156e+00,-2.394900692161238409e-01,8.143736513333121874e-01
1.170340681362725288e+00,-2.285691106113679205e-01,8.225867372953440393e-01
1.174348697394789420e+00,-2.190462894532092530e-01,8.298371807125577426e-01
1.178356713426853553e+00,-2.107213778844177765e-01,8.362509968859966891e-01
1.182364729458917685e+00,-2.034296941885003207e-01,8.419343391138625066e-01
1.186372745490981817e+00,-1.970347321160973719e-01,8.469770835195853387e-01
1.190380761523045949e+00,-1.914225297190565722e-01,8.514556920810314455e-01
1.194388777555110082e+00,-1.864973188480302246e-01,8.554355134369974190e-01
1.198396793587174214e+00,-1.821781300452339214e-01,8.589726425671987409e-01
1.202404809619238346e+00,-1.783961185343785893e-01,8.621154321751199889e-01
1.206412825651302478e+00,-1.750924399538183185e-01,8.649057276628816515e-01
1.210420841683366611e+00,-1.722165496273436736e-01,8.673798812562426575e-01
1.214428857715430743e+00,-1.697248310801927063e-01,8.695695887185924677e-01
1.218436873747494875e+00,-1.675794825003829591e-01,8.715025829086876508e-01
1.222444889779559007e+00,-1.657476069252032391e-01,8.732032111934592278e-01
1.226452905811623140e+00,-1.642004646259443146e-01,8.746929180860452124e-01
1.230460921843687272e+00,-1.629128551707169081e-01,8.759906504332697352e-01
1.234468937875751404e+00,-1.618626042111754870e-01,8.771131987483777870e-01
1.238476953907815536e+00,-1.610301350625078232e-01,8.780754858825856601e-01
1.242484969939879669e+00,-1.603981094158839216e-01,8.788908120226444076e-01
1.246492985971943801e+00,-1.599511247553196680e-01,8.795710632971096565e-01
1.250501002004007933e+00,-1.596754584171359848e-01,8.801268900182533939e-01
1.254509018036072066e+00,-1.595588503226084143e-01,8.805678594074681786e-01
1.258517034068136198e+00,-1.595903177491873048e-01,8.809025869255002750e-01
1.262525050100200330e+00,-1.597599969471930614e-01,8.811388494677468985e-01
1.266533066132264462e+00,-1.600590071861801300e-01,8.812836832497684680e-01
1.270541082164328595e+00,-1.604793337206181225e-01,8.813434686522247929e-01
1.274549098196392727e+00,-1.610137266814886670e-01,8.813240039893164290e-01
1.278557114228456859e+00,-1.616556134941167233e-01,8.812305697903503043e-01
1.282565130260520991e+00,-1.623990228117958845e-01,8.810679849416400700e-01
1.286573146292585124e+00,-1.632385182188953454e-01,8.808406558716675994e-01
1.290581162324649256e+00,-1.641691403442241681e-01,8.805526197077793160e-01
1.294589178356713388e+00,-1.651863561468216446e-01,8.802075822575748942e-01
1.298597194388777520e+00,-1.662860144310735200e-01,8.798089514710435433e-01
