T_over_Tc, mu_over_kTc, z
1.000000000000000021e-02,-9.950340621844273945e-05,9.900990002290335212e-01
1.196392785571142280e-02,-1.190452406065005127e-04,9.900989933381048047e-01
1.392785571142284712e-02,-1.385871400021225182e-04,9.900989837692800721e-01
1.589178356713426971e-02,-1.581291273965967068e-04,9.900989710829569690e-01
1.785571142284569229e-02,-1.776712292693219115e-04,9.900989548395228157e-01
1.981963927855711488e-02,-1.972134755879445794e-04,9.900989345993529422e-01
2.178356713426853747e-02,-2.167558998085786475e-04,9.900989099228061363e-01
2.374749498997996006e-02,-2.362985388760403002e-04,9.900988803702217567e-01
2.571142284569138264e-02,-2.558414332241514639e-04,9.900988455019155143e-01
2.767535070140280523e-02,-2.753846267761129356e-04,9.900988048781745876e-01
2.963927855711422782e-02,-2.949281669449158104e-04,9.900987580592534032e-01
3.160320641282565041e-02,-3.144721046338494301e-04,9.900987046053679741e-01
3.356713426853707993e-02,-3.340164942370812419e-04,9.900986440766901264e-01
3.553106212424850252e-02,-3.535613936402889424e-04,9.900985760333421704e-01
3.749498997995992511e-02,-3.731068642214210450e-04,9.900985000353899057e-01
3.945891783567134770e-02,-3.926529708515308489e-04,9.900984156428358496e-01
4.142284569138277028e-02,-4.121997818956922642e-04,9.900983224156124640e-01
4.338677354709419287e-02,-4.317473692140404835e-04,9.900982199135743844e-01
4.535070140280561546e-02,-4.512958081629205856e-04,9.900981076964903149e-01
4.731462925851703805e-02,-4.708451775961338260e-04,9.900979853240349238e-01
4.927855711422846063e-02,-4.903955598663130560e-04,9.900978523557800726e-01
5.124248496993988322e-02,-5.099470408264162105e-04,9.900977083511858234e-01
5.320641282565130581e-02,-5.294997098313678451e-04,9.900975528695906691e-01
5.517034068136272840e-02,-5.490536597398179824e-04,9.900973854702017629e-01
5.713426853707415792e-02,-5.686089869160311722e-04,9.900972057120849268e-01
5.909819639278558051e-02,-5.881657912319614373e-04,9.900970131541535491e-01
6.106212424849700310e-02,-6.077241760694391095e-04,9.900968073551578152e-01
6.302605210420841875e-02,-6.272842483225291857e-04,9.900965878736732728e-01
6.498997995991984133e-02,-6.468461184000710721e-04,9.900963542680887297e-01
6.695390781563126392e-02,-6.664099002283314097e-04,9.900961060965945970e-01
6.891783567134268651e-02,-6.859757112539302277e-04,9.900958429171693442e-01
7.088176352705410910e-02,-7.055436724468079710e-04,9.900955642875676199e-01
7.284569138276553169e-02,-7.251139083035161624e-04,9.900952697653059298e-01
7.480961923847695427e-02,-7.446865468506106301e-04,9.900949589076492030e-01
7.677354709418837686e-02,-7.642617196482590818e-04,9.900946312715966924e-01
7.873747494989979945e-02,-7.838395617940777712e-04,9.900942864138670974e-01
8.070140280561122204e-02,-8.034202119271202777e-04,9.900939238908840201e-01
8.266533066132264462e-02,-8.230038122321606470e-04,9.900935432587599783e-01
8.462925851703406721e-02,-8.425905084441196466e-04,9.900931440732809730e-01
8.659318637274548980e-02,-8.621804498527256425e-04,9.900927258898905015e-01
8.855711422845691239e-02,-8.817737893074659335e-04,9.900922882636724598e-01
9.052104208416833497e-02,-9.013706832227110161e-04,9.900918307493343784e-01
9.248496993987975756e-02,-9.209712915830831200e-04,9.900913529011902137e-01
9.444889779559118015e-02,-9.405757779491245255e-04,9.900908542731421402e-01
9.641282565130260274e-02,-9.601843094631310046e-04,9.900903344186628985e-01
9.837675350701402532e-02,-9.797970568553723229e-04,9.900897928907763657e-01
1.003406813627254479e-01,-9.994141944504211610e-04,9.900892292420393481e-01
1.023046092184368705e-01,-1.019035900173897828e-03,9.900886430245214864e-01
1.042685370741483070e-01,-1.038662355559380858e-03,9.900880337897858263e-01
1.062324649298597296e-01,-1.058293745755674309e-03,9.900874010888682797e-01
1.081963927855711521e-01,-1.077930259534317162e-03,9.900867444722570854e-01
1.101603206412825747e-01,-1.097572089297440536e-03,9.900860634898713819e-01
1.121242484969939973e-01,-1.117219431085853020e-03,9.900853576910400022e-01
1.140881763527054199e-01,-1.136872484587460146e-03,9.900846266244796023e-01
1.160521042084168425e-01,-1.156531453146061178e-03,9.900838698382717906e-01
1.180160320641282651e-01,-1.176196543770365987e-03,9.900830868798407014e-01
1.199799599198396877e-01,-1.195867967143431293e-03,9.900822772959293472e-01
1.219438877755511103e-01,-1.215545937632321561e-03,9.900814406325764150e-01
1.239078156312625328e-01,-1.235230673298191211e-03,9.900805764350919524e-01
1.258717434869739693e-01,-1.254922395906710089e-03,9.900796842480326099e-01
1.278356713426853919e-01,-1.274621330938803358e-03,9.900787636151767712e-01
1.297995991983968145e-01,-1.294327707601774548e-03,9.900778140794990190e-01
1.317635270541082371e-01,-1.314041758840720463e-03,9.900768351831447101e-01
1.337274549098196597e-01,-1.333763721350504899e-03,9.900758264674026643e-01
1.356913827655310822e-01,-1.353493835587847713e-03,9.900747874726794073e-01
1.376553106212425048e-01,-1.373232345784029069e-03,9.900737177384711929e-01
1.396192384769539274e-01,-1.392979499957868860e-03,9.900726168033364694e-01
1.415831663326653500e-01,-1.412735549929097518e-03,9.900714842048679021e-01
1.435470941883767726e-01,-1.432500751332222962e-03,9.900703194796632856e-01
1.455110220440881952e-01,-1.452275363630649730e-03,9.900691221632971217e-01
1.474749498997996178e-01,-1.472059650131450582e-03,9.900678917902900888e-01
1.494388777555110404e-01,-1.491853878000321768e-03,9.900666278940797316e-01
1.514028056112224629e-01,-1.511658318277107286e-03,9.900653300069897078e-01
1.533667334669338855e-01,-1.531473245891816666e-03,9.900639976601982584e-01
1.553306613226453081e-01,-1.551298939680875212e-03,9.900626303837075648e-01
1.572945891783567307e-01,-1.571135682404134482e-03,9.900612277063106648e-01
1.592585170340681533e-01,-1.590983760762026099e-03,9.900597891555599217e-01
1.612224448897795759e-01,-1.610843465413456079e-03,9.900583142577332740e-01
1.631863727454909985e-01,-1.630715090994012918e-03,9.900568025378010395e-01
1.651503006012024211e-01,-1.650598936134775249e-03,9.900552535193914983e-01
1.671142284569138436e-01,-1.670495303481476634e-03,9.900536667247568090e-01
1.690781563126252662e-01,-1.690404499714326294e-03,9.900520416747374819e-01
1.710420841683366888e-01,-1.710326835568234905e-03,9.900503778887269624e-01
1.730060120240481114e-01,-1.730262625853600704e-03,9.900486748846354379e-01
1.749699398797595340e-01,-1.750212189477688002e-03,9.900469321788527566e-01
1.769338677354709566e-01,-1.770175849466368691e-03,9.900451492862117897e-01
1.788977955911823792e-01,-1.790153932986605564e-03,9.900433257199501291e-01
1.808617234468938018e-01,-1.810146771369351530e-03,9.900414609916720066e-01
1.828256513026052243e-01,-1.830154700133135564e-03,9.900395546113089917e-01
1.847895791583166469e-01,-1.850178059008092965e-03,9.900376060870808015e-01
1.867535070140280695e-01,-1.870217191960659364e-03,9.900356149254551097e-01
1.887174348697394921e-01,-1.890272447218827642e-03,9.900335806311069131e-01
1.906813627254509147e-01,-1.910344177298043235e-03,9.900315027068771201e-01
1.926452905811623373e-01,-1.930432739027682521e-03,9.900293806537306951e-01
1.946092184368737599e-01,-1.950538493578118189e-03,9.900272139707143593e-01
1.965731462925851825e-01,-1.970661806488450529e-03,9.900250021549135138e-01
1.985370741482966328e-01,-1.990803047694949743e-03,9.900227447014081639e-01
2.005010020040080554e-01,-2.010962591560031248e-03,9.900204411032288432e-01
2.024649298597194780e-01,-2.031140816901940045e-03,9.900180908513116496e-01
2.044288577154309006e-01,-2.051338107025089084e-03,9.900156934344527260e-01
2.063927855711423232e-01,-2.071554849751172395e-03,9.900132483392616312e-01
2.083567134268537457e-01,-2.091791437450888844e-03,9.900107550501144882e-01
2.103206412825651683e-01,-2.112048267076270872e-03,9.900082130491069110e-01
2.122845691382765909e-01,-2.132325740194056674e-03,9.900056218160047106e-01
2.142484969939880135e-01,-2.152624263019364218e-03,9.900029808281959331e-01
2.162124248496994361e-01,-2.172944246450496733e-03,9.900002895606403452e-01
2.181763527054108587e-01,-2.193286106104211809e-03,9.899975474858195845e-01
2.201402805611222813e-01,-2.213650262351930277e-03,9.899947540736857565e-01
2.221042084168337039e-01,-2.234037140356611231e-03,9.899919087916098093e-01
2.240681362725451264e-01,-2.254447170110501775e-03,9.899890111043287977e-01
2.260320641282565490e-01,-2.274880786473719007e-03,9.899860604738922598e-01
2.279959919839679716e-01,-2.295338429213424850e-03,9.899830563596088151e-01
2.299599198396793942e-01,-2.315820543044106762e-03,9.899799982179907643e-01
2.319238476953908168e-01,-2.336327577668626497e-03,9.899768855026982450e-01
2.338877755511022394e-01,-2.356859987819888598e-03,9.899737176644836101e-01
2.358517034068136620e-01,-2.377418233303754420e-03,9.899704941511333622e-01
2.378156312625250846e-01,-2.398002779042658714e-03,9.899672144074100899e-01
2.397795591182365071e-01,-2.418614095119944393e-03,9.899638778749942913e-01
2.417434869739479297e-01,-2.439252656825496596e-03,9.899604839924237565e-01
2.437074148296593523e-01,-2.459918944701992589e-03,9.899570321950333929e-01
2.456713426853707749e-01,-2.480613444592232823e-03,9.899535219148936083e-01
2.476352705410821975e-01,-2.501336647687409185e-03,9.899499525807479161e-01
2.495991983967936201e-01,-2.522089050576311730e-03,9.899463236179497638e-01
2.515631262525050427e-01,-2.542871155295641297e-03,9.899426344483980289e-01
2.535270541082164653e-01,-2.563683469381145691e-03,9.899388844904722928e-01
2.554909819639278878e-01,-2.584526505920027410e-03,9.899350731589662278e-01
2.574549098196393104e-01,-2.605400783604113358e-03,9.899311998650210942e-01
2.594188376753507330e-01,-2.626306826784301739e-03,9.899272640160574621e-01
2.613827655310621556e-01,-2.647245165526022903e-03,9.899232650157061553e-01
2.633466933867735782e-01,-2.668216335665831232e-03,9.899192022637380850e-01
2.653106212424850008e-01,-2.689220878868927266e-03,9.899150751559937511e-01
2.672745490981964234e-01,-2.710259342688157384e-03,9.899108830843104112e-01
2.692384769539078460e-01,-2.731332280623827938e-03,9.899066254364494721e-01
2.712024048096192685e-01,-2.752440252184910636e-03,9.899023015960219940e-01
2.731663326653306911e-01,-2.773583822951382859e-03,9.898979109424133060e-01
2.751302605210421137e-01,-2.794763564637760614e-03,9.898934528507066233e-01
2.770941883767535363e-01,-2.815980055157851856e-03,9.898889266916055529e-01
2.790581162324649589e-01,-2.837233878690824298e-03,9.898843318313552686e-01
2.810220440881763815e-01,-2.858525625748655798e-03,9.898796676316621301e-01
2.829859719438878041e-01,-2.879855893244493738e-03,9.898749334496135255e-01
2.849498997995992267e-01,-2.901225284562929975e-03,9.898701286375943820e-01
2.869138276553106492e-01,-2.922634409631063787e-03,9.898652525432044547e-01
2.888777555110220718e-01,-2.944083884991327300e-03,9.898603045091729502e-01
2.908416833667334944e-01,-2.965574333875542999e-03,9.898552838732724846e-01
2.928056112224449170e-01,-2.987106386280370760e-03,9.898501899682318195e-01
2.947695390781563396e-01,-3.008680679044398957e-03,9.898450221216466005e-01
2.967334669338677622e-01,-3.030297855926353170e-03,9.898397796558899842e-01
2.986973947895791848e-01,-3.051958567685338422e-03,9.898344618880200452e-01
3.006613226452906074e-01,-3.073663472162033346e-03,9.898290681296877391e-01
3.026252505010020299e-01,-3.095413234361880147e-03,9.898235976870419783e-01
3.045891783567134525e-01,-3.117208526539609441e-03,9.898180498606340416e-01
3.065531062124248751e-01,-3.139050028285477259e-03,9.898124239453202078e-01
3.085170340681362977e-01,-3.160938426613220300e-03,9.898067192301626127e-01
3.104809619238477203e-01,-3.182874416049559854e-03,9.898009349983289962e-01
3.124448897795591429e-01,-3.204858698725291267e-03,9.897950705269912275e-01
3.144088176352705655e-01,-3.226891984468587340e-03,9.897891250872207225e-01
3.163727454909819881e-01,-3.248974990899561148e-03,9.897830979438838606e-01
3.183366733466934106e-01,-3.271108443526765230e-03,9.897769883555352921e-01
3.203006012024048332e-01,-3.293293075845801516e-03,9.897707955743086927e-01
3.222645290581162558e-01,-3.315529629439469082e-03,9.897645188458068510e-01
3.242284569138276784e-01,-3.337818854079957574e-03,9.897581574089895362e-01
3.261923847695391010e-01,-3.360161507833090214e-03,9.897517104960592560e-01
3.281563126252505236e-01,-3.382558357164202213e-03,9.897451773323462376e-01
3.301202404809619462e-01,-3.405010177046473383e-03,9.897385571361901890e-01
3.320841683366733688e-01,-3.427517751071106501e-03,9.897318491188208389e-01
3.340480961923847913e-01,-3.450081871559495823e-03,9.897250524842368113e-01
3.360120240480962139e-01,-3.472703339677769580e-03,9.897181664290818359e-01
3.379759519038076365e-01,-3.495382965553311787e-03,9.897111901425195146e-01
3.399398797595190591e-01,-3.518121568393601205e-03,9.897041228061057572e-01
3.419038076152304817e-01,-3.540919976607424281e-03,9.896969635936587739e-01
3.438677354709419043e-01,-3.563779027928091255e-03,9.896897116711278475e-01
3.458316633266533269e-01,-3.586699569539388791e-03,9.896823661964587737e-01
3.477955911823647495e-01,-3.609682458203512367e-03,9.896749263194583035e-01
3.497595190380761720e-01,-3.632728560391970674e-03,9.896673911816548097e-01
3.517234468937875946e-01,-3.655838752418402553e-03,9.896597599161582881e-01
3.536873747494990172e-01,-3.679013920574555029e-03,9.896520316475162504e-01
3.556513026052104398e-01,-3.702254961268198162e-03,9.896442054915690623e-01
3.576152304609218624e-01,-3.725562781164397461e-03,9.896362805553008402e-01
3.595791583166332850e-01,-3.748938297328776887e-03,9.896282559366897935e-01
3.615430861723447076e-01,-3.772382437374223983e-03,9.896201307245541257e-01
3.635070140280561302e-01,-3.795896139609893950e-03,9.896119039983967136e-01
