T_over_Tc, mu_over_kTc, z
1.000000000000000021e-02,-9.951287426365100844e-05,9.900980627992678196e-01
1.196392785571142280e-02,-1.190614220955433497e-04,9.900976542072298381e-01
1.392785571142284712e-02,-1.386126193413088771e-04,9.900971725037641669e-01
1.589178356713426971e-02,-1.581669014012248512e-04,9.900966176681555986e-01
1.785571142284569229e-02,-1.777247038978493313e-04,9.900959896765404444e-01
1.981963927855711488e-02,-1.972864627074536728e-04,9.900952885019043137e-01
2.178356713426853747e-02,-2.168526139915059295e-04,9.900945141140787831e-01
2.374749498997996006e-02,-2.364235942281761691e-04,9.900936664797388431e-01
2.571142284569138264e-02,-2.559998402439181441e-04,9.900927455623985685e-01
2.767535070140280523e-02,-2.755817892450604769e-04,9.900917513224083422e-01
2.963927855711422782e-02,-2.951698788495001925e-04,9.900906837169497487e-01
3.160320641282565041e-02,-3.147645471184126785e-04,9.900895427000319104e-01
3.356713426853707993e-02,-3.343662325880767316e-04,9.900883282224857140e-01
3.553106212424850252e-02,-3.539753743017051615e-04,9.900870402319598140e-01
3.749498997995992511e-02,-3.735924118414172624e-04,9.900856786729141934e-01
3.945891783567134770e-02,-3.932177853602524301e-04,9.900842434866146125e-01
4.142284569138277028e-02,-4.128519356142695937e-04,9.900827346111266136e-01
4.338677354709419287e-02,-4.324953039947381536e-04,9.900811519813090822e-01
4.535070140280561546e-02,-4.521483325604531154e-04,9.900794955288068078e-01
4.731462925851703805e-02,-4.718114640700912061e-04,9.900777651820440450e-01
4.927855711422846063e-02,-4.914851420147221947e-04,9.900759608662165201e-01
5.124248496993988322e-02,-5.111698106504058634e-04,9.900740825032836590e-01
5.320641282565130581e-02,-5.308659150308994061e-04,9.900721300119604829e-01
5.517034068136272840e-02,-5.505739010405125491e-04,9.900701033077086155e-01
5.713426853707415792e-02,-5.702942154270265306e-04,9.900680023027280674e-01
5.909819639278558051e-02,-5.900273058348112732e-04,9.900658269059473549e-01
6.106212424849700310e-02,-6.097736208380337376e-04,9.900635770230140631e-01
6.302605210420841875e-02,-6.295336099740094990e-04,9.900612525562849653e-01
6.498997995991984133e-02,-6.493077237767089314e-04,9.900588534048155864e-01
6.695390781563126392e-02,-6.690964138104043375e-04,9.900563794643495452e-01
6.891783567134268651e-02,-6.889001327034844800e-04,9.900538306273073408e-01
7.088176352705410910e-02,-7.087193341823967230e-04,9.900512067827752505e-01
7.284569138276553169e-02,-7.285544731057952807e-04,9.900485078164932284e-01
7.480961923847695427e-02,-7.484060054988369171e-04,9.900457336108428041e-01
7.677354709418837686e-02,-7.682743885876300608e-04,9.900428840448348700e-01
7.873747494989979945e-02,-7.881600808339201672e-04,9.900399589940963585e-01
8.070140280561122204e-02,-8.080635419699167855e-04,9.900369583308571420e-01
8.266533066132264462e-02,-8.279852330333257581e-04,9.900338819239363763e-01
8.462925851703406721e-02,-8.479256164025557579e-04,9.900307296387287348e-01
8.659318637274548980e-02,-8.678851558321963111e-04,9.900275013371894195e-01
8.855711422845691239e-02,-8.878643164886184432e-04,9.900241968778198398e-01
9.052104208416833497e-02,-9.078635649858386768e-04,9.900208161156522912e-01
9.248496993987975756e-02,-9.278833694216093034e-04,9.900173589022341902e-01
9.444889779559118015e-02,-9.479241994136675988e-04,9.900138250856126421e-01
9.641282565130260274e-02,-9.679865261363319829e-04,9.900102145103173434e-01
9.837675350701402532e-02,-9.880708223572178765e-04,9.900065270173443732e-01
1.003406813627254479e-01,-1.008177562474305705e-03,9.900027624441384289e-01
1.023046092184368705e-01,-1.028307222553096183e-03,9.899989206245762841e-01
1.042685370741483070e-01,-1.048460280364271703e-03,9.899950013889473599e-01
1.062324649298597296e-01,-1.068637215421325412e-03,9.899910045639367384e-01
1.081963927855711521e-01,-1.088838509018717109e-03,9.899869299726052896e-01
1.101603206412825747e-01,-1.109064644270139509e-03,9.899827774343709086e-01
1.121242484969939973e-01,-1.129316106147126462e-03,9.899785467649887538e-01
1.140881763527054199e-01,-1.149593381517951315e-03,9.899742377765310408e-01
1.160521042084168425e-01,-1.169896959186768771e-03,9.899698502773668363e-01
1.180160320641282651e-01,-1.190227329933183720e-03,9.899653840721402975e-01
1.199799599198396877e-01,-1.210584986551911570e-03,9.899608389617503557e-01
1.219438877755511103e-01,-1.230970423892981764e-03,9.899562147433279558e-01
1.239078156312625328e-01,-1.251384138902104145e-03,9.899515112102141856e-01
1.258717434869739693e-01,-1.271826630661472904e-03,9.899467281519370720e-01
1.278356713426853919e-01,-1.292298400430758531e-03,9.899418653541890434e-01
1.297995991983968145e-01,-1.312799951688610857e-03,9.899369225988026155e-01
1.317635270541082371e-01,-1.333331790174405391e-03,9.899318996637264112e-01
1.337274549098196597e-01,-1.353894423930374546e-03,9.899267963230005130e-01
1.356913827655310822e-01,-1.374488363344077580e-03,9.899216123467314832e-01
1.376553106212425048e-01,-1.395114121191282737e-03,9.899163475010666069e-01
1.396192384769539274e-01,-1.415772212679222795e-03,9.899110015481676905e-01
1.415831663326653500e-01,-1.436463155490180646e-03,9.899055742461847496e-01
1.435470941883767726e-01,-1.457187469825525251e-03,9.899000653492288082e-01
1.455110220440881952e-01,-1.477945678450185828e-03,9.898944746073439216e-01
1.474749498997996178e-01,-1.498738306737384734e-03,9.898888017664797534e-01
1.494388777555110404e-01,-1.519565882713967741e-03,9.898830465684623769e-01
1.514028056112224629e-01,-1.540428937106019672e-03,9.898772087509655204e-01
1.533667334669338855e-01,-1.561328003385033638e-03,9.898712880474804798e-01
1.553306613226453081e-01,-1.582263617814426123e-03,9.898652841872861430e-01
1.572945891783567307e-01,-1.603236319496537804e-03,9.898591968954182363e-01
1.592585170340681533e-01,-1.624246650420094499e-03,9.898530258926380165e-01
1.612224448897795759e-01,-1.645295155508156876e-03,9.898467708954002964e-01
1.631863727454909985e-01,-1.666382382666526394e-03,9.898404316158210259e-01
1.651503006012024211e-01,-1.687508882832638698e-03,9.898340077616443189e-01
1.671142284569138436e-01,-1.708675210024946213e-03,9.898274990362089243e-01
1.690781563126252662e-01,-1.729881921392823320e-03,9.898209051384140311e-01
1.710420841683366888e-01,-1.751129577266957466e-03,9.898142257626846297e-01
